City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Conceicao Do Araguaia,BR,2022-08-01 04:46:32,-8.2578,-49.2647,72.27,71,27,2.28
164,Gornopravdinsk,RU,2022-08-01 04:46:32,60.05,69.9,65.62,43,95,10.67
165,Marawi,PH,2022-08-01 04:46:33,7.9986,124.2928,79.23,72,100,4.23
166,Dunmore Town,BS,2022-08-01 04:46:33,25.5,-76.65,83.43,78,85,16.26
167,Norman Wells,CA,2022-08-01 04:46:34,65.282,-126.8329,69.84,52,40,6.91
168,Le Port,RE,2022-08-01 04:46:34,-20.9373,55.2919,75.25,54,6,5.68
169,Labuhan,ID,2022-08-01 04:46:35,-6.8844,112.2051,85.86,60,84,9.08
170,Hilo,US,2022-08-01 04:42:00,19.7297,-155.09,76.28,91,100,12.66
171,Kodiak,US,2022-08-01 04:46:36,57.79,-152.4072,63.91,72,75,0.0
172,Alice Springs,AU,2022-08-01 04:46:37,-23.7,133.8833,72.95,23,33,6.91
173,Sibolga,ID,2022-08-01 04:46:37,1.7427,98.7792,86.97,62,64,5.06
174,Cherskiy,RU,2022-08-01 04:46:38,68.75,161.3,73.53,30,34,15.77
175,Ponta Do Sol,PT,2022-08-01 04:46:38,32.6667,-17.1,70.43,81,8,4.81
176,Chokurdakh,RU,2022-08-01 04:46:39,70.6333,147.9167,80.13,35,94,12.24
177,Meulaboh,ID,2022-08-01 04:46:39,4.1363,96.1285,85.21,66,98,6.96
178,Yerbogachen,RU,2022-08-01 04:46:40,61.2767,108.0108,80.62,46,52,3.42
179,Dryden,CA,2022-08-01 04:44:10,49.7833,-92.7503,57.49,100,100,6.91
180,Ahipara,NZ,2022-08-01 04:46:41,-35.1667,173.1667,55.31,66,10,4.81
181,Tarut,SA,2022-08-01 04:46:41,26.5733,50.0369,93.4,57,100,5.95
182,Deputatskiy,RU,2022-08-01 04:46:42,69.3,139.9,74.57,50,99,18.37
183,Isangel,VU,2022-08-01 04:46:43,-19.55,169.2667,75.06,83,74,15.77
184,Lebu,CL,2022-08-01 04:46:44,-37.6167,-73.65,45.81,84,100,5.95
185,Panguna,PG,2022-08-01 04:46:44,-6.3164,155.4848,80.17,62,72,3.8
186,Dalby,AU,2022-08-01 04:46:45,-27.1833,151.2667,62.11,66,100,9.46
187,Airai,TL,2022-08-01 04:46:46,-8.9266,125.4092,75.96,47,64,2.66
188,Edd,ER,2022-08-01 04:46:46,13.9297,41.6925,91.15,49,80,9.35
189,Emborion,GR,2022-08-01 04:46:47,40.4833,21.55,69.3,58,50,5.12
190,Sretensk,RU,2022-08-01 04:46:48,52.2453,117.7093,80.42,43,87,9.1
191,Robertsport,LR,2022-08-01 04:46:49,6.7533,-11.3686,77.16,81,100,9.55
192,Hasaki,JP,2022-08-01 04:46:49,35.7333,140.8333,93.6,69,85,10.47
193,Bafata,GW,2022-08-01 04:46:50,12.1667,-14.75,72.9,97,100,3.6
194,Kangaatsiaq,GL,2022-08-01 04:46:50,68.3065,-53.4641,41.56,90,22,3.04
195,Cap Malheureux,MU,2022-08-01 04:46:51,-19.9842,57.6142,73.47,70,2,5.01
196,Avera,US,2022-08-01 04:46:51,33.194,-82.5271,76.51,54,20,5.44
197,Hofn,IS,2022-08-01 04:46:52,64.2539,-15.2082,47.86,65,28,13.15
198,Sao Mateus,BR,2022-08-01 04:46:53,-18.7161,-39.8589,66.99,85,61,2.77
199,Kapaa,US,2022-08-01 04:46:53,22.0752,-159.319,85.98,72,40,17.27
