City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,idenao,CM,4.2475,9.0047,75.07,93,100,5.37,overcast clouds
123,cockburn town,TC,21.4612,-71.1419,84.16,74,40,13.8,scattered clouds
124,ancud,CL,-41.8697,-73.8203,45.23,76,12,1.52,few clouds
125,jumla,NP,29.2747,82.1838,60.08,87,99,2.8,overcast clouds
126,shu,KZ,43.5983,73.7614,73.49,51,69,1.52,broken clouds
127,geraldton,AU,-28.7667,114.6,52.21,93,100,12.66,overcast clouds
128,port blair,IN,11.6667,92.75,80.64,83,100,16.11,mist
129,hasaki,JP,35.7333,140.8333,82.8,87,9,12.1,clear sky
130,ust-kuyga,RU,70.0167,135.6,60.04,73,100,8.48,overcast clouds
131,clovis,US,36.8252,-119.7029,99.84,29,20,5.75,few clouds
132,tabas,IR,33.5959,56.9244,91.62,18,0,6.91,clear sky
133,lebu,CL,-37.6167,-73.65,46.85,85,100,8.99,overcast clouds
134,sao filipe,CV,14.8961,-24.4956,79.52,84,95,6.24,overcast clouds
135,shache,CN,38.4167,77.2406,77.63,47,80,6.6,broken clouds
136,bayir,TR,37.2687,28.2167,70.32,73,0,2.64,clear sky
137,ostrovnoy,RU,68.0531,39.5131,52.75,75,100,18.59,overcast clouds
138,ormara,PK,25.2088,64.6357,80.91,88,100,11.56,overcast clouds
139,sao joao da barra,BR,-21.6403,-41.0511,72.45,89,16,14.94,few clouds
140,kruisfontein,ZA,-34.0033,24.7314,57.88,89,83,7.94,light rain
141,kalevala,RU,65.2,31.1667,48.11,90,49,6.04,scattered clouds
142,maturin,VE,9.75,-63.1767,80.2,81,49,8.08,scattered clouds
143,bose,IT,45.4612,8.0137,68.74,78,100,4.94,light rain
144,vao,NC,-22.6667,167.4833,72.09,83,1,11.01,clear sky
145,rawson,AR,-43.3002,-65.1023,42.51,74,100,9.22,overcast clouds
146,luderitz,NA,-26.6481,15.1594,56.84,75,0,8.48,clear sky
147,haines junction,CA,60.7522,-137.5108,64.35,45,91,5.75,overcast clouds
148,srandakan,ID,-7.9386,110.2506,74.88,86,94,4.23,overcast clouds
149,aniva,RU,46.7144,142.5294,64.51,97,100,3.56,very heavy rain
150,pavino,RU,59.1139,46.1414,63.37,92,34,3.18,scattered clouds
151,loiza,PR,18.4313,-65.8802,85.8,87,40,17.27,thunderstorm
152,santiago,CL,-33.4569,-70.6483,53.04,69,75,11.5,broken clouds
153,oistins,BB,13.0667,-59.5333,82.49,74,20,10.36,few clouds
154,rio gallegos,AR,-51.6226,-69.2181,37.45,81,75,13.8,broken clouds
155,ribeira grande,PT,38.5167,-28.7,74.46,83,28,15.59,light rain
156,sucua,EC,-2.4667,-78.1667,79.54,57,20,9.22,light rain
157,shumskiy,RU,54.8318,99.1328,48.07,85,6,2.57,clear sky
158,baytown,US,29.7355,-94.9774,96.1,64,54,12.3,broken clouds
159,provideniya,RU,64.3833,-173.3,42.91,75,100,17.9,overcast clouds
160,tashtyp,RU,52.7939,89.8983,50.81,80,97,1.81,overcast clouds
161,port alfred,ZA,-33.5906,26.891,62.19,97,96,5.01,light rain
162,redcar,GB,54.6166,-1.06,62.46,34,74,9.82,broken clouds
163,fairbanks,US,64.8378,-147.7164,59.02,64,75,8.05,broken clouds
164,hamilton,US,39.1834,-84.5333,90.25,69,0,6.91,clear sky
165,khatanga,RU,71.9667,102.5,52.16,79,73,7.54,broken clouds
166,spassk-ryazanskiy,RU,54.4072,40.3806,68.14,48,18,4.88,few clouds
167,merritt island,US,28.5392,-80.672,88.21,71,0,11.5,clear sky
168,carnarvon,AU,-24.8667,113.6333,61.75,79,0,11.25,clear sky
169,cape town,ZA,-33.9258,18.4232,57.11,88,0,6.91,clear sky
170,tuktoyaktuk,CA,69.4541,-133.0374,44.33,74,81,6.51,broken clouds
171,beringovskiy,RU,63.05,179.3167,44.37,61,31,27.56,scattered clouds
172,moree,AU,-29.4667,149.85,47.01,75,0,6.71,clear sky
173,kortkeros,RU,61.8106,51.5806,62.6,76,49,5.66,scattered clouds
174,lasa,IT,46.6166,10.7002,65.28,89,88,1.28,overcast clouds
175,amapa,BR,1.0,-52.0,76.19,78,81,2.66,broken clouds
176,sayat,TM,38.7839,63.8803,78.67,26,0,9.22,clear sky
177,hithadhoo,MV,-0.6,73.0833,81.61,70,99,3.76,overcast clouds
178,sitka,US,57.0531,-135.33,55.29,88,100,4.61,light rain
179,aklavik,CA,68.2191,-135.0107,52.65,63,97,5.17,overcast clouds
180,saint-pierre,RE,-21.3393,55.4781,67.68,71,75,6.91,broken clouds
181,deputatskiy,RU,69.3,139.9,48.15,93,100,4.76,overcast clouds
182,tabuk,PH,17.4189,121.4443,73.13,94,100,3.0,overcast clouds
183,lorengau,PG,-2.0226,147.2712,82.47,75,92,8.16,overcast clouds
184,gurkovo,BG,42.6667,25.8,65.97,50,0,5.39,clear sky
185,mount gambier,AU,-37.8333,140.7667,40.96,86,22,4.43,few clouds
186,konya,TR,38.1667,32.5,72.88,55,71,12.57,broken clouds
187,isahaya,JP,32.8411,130.0431,83.52,86,75,5.75,broken clouds
188,avarua,CK,-21.2078,-159.775,77.05,61,20,20.71,few clouds
189,saint george,US,37.1041,-113.5841,102.79,15,0,7.0,clear sky
190,puerto escondido,MX,15.85,-97.0667,81.43,74,100,0.0,overcast clouds
191,saint-augustin,CA,51.226,-58.6502,71.74,75,100,19.15,overcast clouds
192,richards bay,ZA,-28.783,32.0377,66.09,96,84,6.82,broken clouds
193,qarchi gak,AF,37.04,66.7889,84.52,21,0,10.58,clear sky
194,omboue,GA,-1.5746,9.2618,70.56,80,44,7.56,scattered clouds
195,sinnamary,GF,5.3833,-52.95,79.92,78,99,10.04,overcast clouds
196,hadejia,NG,12.4498,10.0444,84.67,57,100,9.66,overcast clouds
197,bac lieu,VN,9.285,105.7244,78.15,86,100,7.52,overcast clouds
198,pevek,RU,69.7008,170.3133,32.45,94,100,16.33,overcast clouds
199,abu dhabi,AE,24.4667,54.3667,98.71,44,0,2.3,clear sky
200,rio muerto,MX,27.4167,-110.2333,88.32,49,71,9.66,broken clouds
201,bambous virieux,MU,-20.3428,57.7575,66.45,94,75,3.44,broken clouds
202,veraval,IN,20.9,70.3667,81.19,89,100,12.93,overcast clouds
203,nome,US,64.5011,-165.4064,49.15,87,100,10.36,overcast clouds
204,grindavik,IS,63.8424,-22.4338,51.75,87,20,14.97,few clouds
